"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Dahlgren Department of Defense School District, Virginia",531,27,5,5,0,0,0,0,0,0,22,504,197,9,33,63,60,15,16,1,307,489,22,0,0,0,0,0,0,22,22,0,0,0,0,467,172,167,5,0,0,0,295,266,1,0,28,0,52143,49750,78929,NA,31250,NA,NA,NA,51429,17708,52143,18333,39167,91250,78571,81250,NA,NA,52143,28750,69375,90938,NA,NA,NA,NA,52143,NA,52143,NA,NA,NA,55000,51250,80673,NA,31250,NA,NA,NA,53000,NA,55000,39167,91250,78571,81250,NA,NA,55000,NA,54643,61250,NA,55000,80000,38542,55000,63750,81250,38542,NA,NA,NA,NA,NA,NA,NA,21625,23293,18112,NA,29456,NA,NA,NA,23567,26231,184,0,0,0,184,19,165,215,0,215,146,0,146,38,0,38,0,0,0,16,0,16,7,0,7,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,252,38,42,30,35,61,34,12,0,252,0,0,0,0,0,252,252,237,0,15,0,184,156,140,16,0,16,28,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,4,0,0,0,0,0,0,4,0,0,0,4,0,74,68,65,1,0,2,0,6,6,0,0,0,0,191,152,133,0,15,4,0,39,26,0,0,13,0,66,50,45,0,0,5,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,434,39,32,32,0,7,59,59,59,2,0,114,110,110,4,4,120,120,120,0,0,102,102,102,4,0,826,800,465,263,7,50,0,15,26,0,26,26,0,0,21,0,5,0,0
"Quantico Marine Corps Center School District, Virginia",4031,219,92,0,14,42,6,5,9,16,127,3812,1348,186,105,305,243,112,301,96,2464,3696,219,87,73,0,0,14,0,132,95,5,0,32,0,3477,857,786,59,5,7,0,2620,2166,402,12,40,0,58461,59711,47969,2499,41875,NA,38125,60833,60189,48409,58461,31944,59203,54808,59223,67083,NA,NA,58461,49750,63083,43750,41250,60208,55625,60833,58461,60208,58447,70606,70758,NA,59137,59420,70076,NA,50417,NA,51607,NA,59691,49375,59137,58958,54625,59223,67083,NA,NA,59137,8594,52169,61118,NA,59137,57596,61667,59137,59895,59223,62813,30066,58125,58750,NA,26750,26000,42500,22537,23148,26179,14986,22166,21533,16557,20209,23510,18135,1457,36,11,25,1421,72,1349,1778,61,1717,1534,35,1499,117,0,117,30,2,28,56,2,54,20,6,14,21,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2071,2071,792,335,132,317,242,137,116,0,2071,9,9,8,1,0,2062,2062,1961,10,91,0,1457,1261,1182,79,21,58,196,182,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3136,65,14,13,1,0,0,0,51,32,19,0,0,0,650,497,413,77,0,7,0,153,147,6,0,0,0,1216,985,863,70,1,51,0,231,162,57,8,4,0,1205,943,767,73,16,69,18,262,165,59,5,33,0,49,25,9,0,9,0,16,24,56705000,5055000,51650000,49,25,0,7,4,2,12,0,24,0,0,0,11,0,13,2538,2750,NA,49,25,0,25,24,6,18,3917,302,220,168,75,82,1135,1080,1025,58,55,1354,1326,1322,28,28,542,542,538,14,0,584,584,584,9,0,9229,8929,6789,808,148,260,70,854,300,108,192,300,121,58,13,0,108,0,0
"James City County Public Schools, Virginia",65258,5498,2484,81,286,408,286,323,580,520,3014,59760,14198,772,669,2959,3097,3500,2079,1122,45562,63846,5295,1160,903,190,5,62,0,4135,3456,523,95,59,2,58551,9843,9477,184,94,75,13,48708,45363,1263,1010,786,286,76960,80900,47691,80357,108300,NA,60167,75278,81385,63792,76960,45562,84586,86261,99573,107356,96042,110625,76960,27278,75938,90645,68899,87420,93553,73636,76960,87420,45561,57865,74722,86875,90406,94487,55871,72417,111286,NA,56635,96339,94543,70372,90406,86573,87172,99731,111313,88224,150985,90406,75137,76161,102177,126495,90406,86663,91840,90406,101627,108097,98643,46557,70944,43293,82933,43971,30838,52750,39133,42709,22760,16958,34614,25258,17936,23107,43473,24952,26883,1074,536,538,25809,1438,24371,30106,23657,6449,25235,20037,5198,2265,1497,768,259,184,75,315,219,96,383,309,74,1649,1411,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14534,14523,2081,1412,912,2470,2374,2545,2729,11,14523,374,358,135,223,16,14149,14149,10171,585,3393,0,26883,19337,15735,3602,802,2800,7546,6323,1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48821,3188,1580,1068,432,12,26,42,1608,1460,71,53,24,0,10715,6426,6161,98,105,51,11,4289,3972,87,164,10,56,12568,8021,7557,307,83,52,22,4547,4365,81,86,15,0,22350,13349,11963,374,402,468,142,9001,8614,85,148,139,15,20490,14516,3563,666,2897,52,10901,5974,7661240800,5151830500,2509410300,20490,14516,1368,2479,2242,3610,4519,298,5974,540,627,577,1347,2515,368,2419,2283,2786,20490,14516,5055,9461,5974,1930,4044,66573,6777,5535,3526,3078,1242,10255,8935,6803,4516,1320,11016,10300,9386,3306,716,11419,10790,10114,2790,629,27106,26445,25730,5638,661,68171,67040,54929,9325,244,1977,93,472,1131,212,919,968,317,212,133,34,272,151,12
"Accomack County Public Schools, Virginia",31785,6310,1768,108,126,504,331,372,302,25,4542,25475,4482,251,203,1120,1127,1037,645,99,20993,30855,6101,1423,1205,218,0,0,0,4678,4159,491,6,0,22,24754,3497,2924,519,54,0,0,21257,19411,1363,410,70,3,39328,44219,27010,NA,86429,NA,26572,29129,44487,29571,39328,17824,46031,43981,60694,75433,19417,49763,39328,29153,42036,44115,28095,43147,51832,31099,39328,43147,27494,42353,51875,76146,48708,54762,38490,NA,NA,NA,26572,39750,56192,41076,48708,47182,42147,60581,68750,36523,48728,48708,26675,36444,67663,86118,48708,42875,51681,48708,57936,61235,56522,30208,41995,41466,44167,23528,16019,25962,22703,26236,15359,21367,83677,NA,8132,11122,28033,10330,14333,2039,1156,883,12294,1768,10526,14123,9526,4597,11464,8010,3454,1600,723,877,69,57,12,370,188,182,217,180,37,403,368,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6994,6963,1054,933,423,1244,1261,920,1128,31,6924,417,368,165,203,49,6507,6507,4119,396,1992,0,14333,9277,6763,2514,656,1858,5056,4290,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23838,5238,2188,1633,395,151,6,3,3050,2658,375,17,0,0,9109,5552,5005,413,128,6,0,3557,3431,112,14,0,0,5389,3580,3458,76,17,29,0,1809,1721,73,15,0,0,4102,2614,2432,122,24,14,22,1488,1406,35,47,0,0,9960,4636,646,150,496,6,3984,5324,1752804800,943727300,809077500,9960,4636,2340,1622,350,167,66,91,5324,2904,1558,292,188,85,297,739,783,690,9960,4636,2098,2538,5324,1800,3524,32195,8435,6531,3151,4921,1904,9621,7086,5599,2988,2535,5461,4880,4182,1779,581,3675,3176,2845,799,499,5003,4619,4359,920,384,33289,32851,22712,9487,130,30,0,492,438,14,424,432,249,144,6,19,14,6,0
"Albemarle County Public Schools, Virginia",90564,9133,3682,108,113,399,422,628,1042,970,5451,81431,21055,1541,1061,4546,4788,3870,3010,2239,60376,88304,8830,1440,1195,229,0,16,0,7390,5937,826,229,349,49,79474,14267,12927,612,448,217,63,65207,58739,2031,2573,1426,438,67725,71415,37671,23393,71537,NA,64732,54883,72176,46422,67725,37489,80991,87813,102220,97772,87632,126563,67725,30846,64809,84054,53604,88005,100173,55688,67725,88005,41966,47578,25179,14475,89889,95372,50909,NA,76947,NA,51172,55313,96863,50781,89889,83644,87656,105486,97500,88403,107308,89889,48586,66167,108468,123204,89889,89461,90014,89889,102686,110498,97553,40080,44262,37598,50556,37786,26970,48401,37239,40745,19684,8108,33175,NA,19443,11177,41825,20524,37964,1412,551,861,36552,3401,33151,45326,31718,13608,36492,25904,10588,3383,2387,996,853,242,611,798,242,556,532,389,143,3268,2554,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21569,21479,3381,2260,966,3905,3658,3871,3438,90,21471,1029,1015,454,561,14,20442,20363,16851,459,3053,79,37964,24504,20370,4134,908,3226,13460,11227,2233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66879,5725,2502,1879,500,85,33,5,3223,2921,144,138,20,0,12073,7281,6261,702,207,53,58,4792,4651,46,61,28,6,14193,9430,8847,232,274,61,16,4763,4314,71,192,121,65,34888,24469,21610,383,1357,895,224,10419,9358,315,268,419,59,25078,17212,4359,760,3599,71,12782,7866,10478993200,6751753000,3727240200,25078,17212,1044,3480,2677,4283,5466,262,7866,976,1203,1130,1598,2621,338,2294,2297,2285,25078,17212,6191,11021,7866,2461,5405,93483,11493,8918,5894,4630,2575,15183,13412,11046,5238,1771,15828,14379,13305,2797,1449,13708,12864,12194,2520,844,37271,36122,35111,5046,1149,100636,97702,82359,9607,357,4210,14,1155,2934,369,2565,2577,894,165,1080,17,421,357,0
"Alexandria City Public Schools, Virginia",135300,11312,3766,121,266,884,522,817,724,432,7546,123988,25224,2196,1278,4091,2964,3404,6610,4681,98764,131892,10959,2403,1570,641,48,13,131,8556,4981,1619,739,390,827,120933,11903,8286,2080,386,146,1005,109030,75796,13462,7129,3691,8952,85706,103741,53885,68088,80774,NA,51604,76756,109040,60119,85706,67591,123494,97924,101075,76103,99191,80375,85706,47313,85434,103489,69802,131095,141192,82132,85706,131095,63983,61219,60876,22411,107511,144889,55837,54839,76179,NA,48311,67112,157474,55438,107511,118922,104014,96672,75551,89973,82125,107511,56105,66497,144356,93269,107511,88523,119353,107511,137063,125185,142525,49122,50443,38614,65483,48253,31816,63554,54608,68311,28353,43090,43008,6831,16552,32872,76113,26770,65369,3035,1581,1454,62334,2726,59608,89201,37768,51433,52412,23878,28534,7675,2981,4694,19139,6224,12915,3357,1035,2322,2003,802,1201,4615,2848,1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24911,24869,7042,3421,1290,4414,3017,2702,2983,42,24869,1494,1480,926,554,14,23375,23253,17015,1039,5199,122,65369,30863,23334,7529,2335,5194,34506,28088,6418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109116,9589,6371,1895,3580,236,117,543,3218,1747,681,207,78,505,13281,8802,4056,2186,597,301,1662,4479,3136,557,260,162,364,19247,15050,9557,1736,914,441,2402,4197,3077,334,318,107,361,66999,57322,44901,3649,4043,1964,2765,9677,7357,552,711,595,462,28337,22661,5522,1724,3798,130,17009,5676,15144930200,12073565800,3071364400,28337,22661,668,1552,1381,3477,15224,359,5676,176,210,254,991,3650,395,4302,4255,4496,28337,22661,6580,16081,5676,1371,4305,140012,13256,9472,4195,6491,3784,21165,14442,10869,4971,6723,22935,18332,16274,3652,4603,17579,15216,14661,2065,2363,65077,62468,61479,6556,2609,143684,138107,92041,31291,509,8727,54,5485,5577,1122,4455,5103,1136,374,1927,374,1292,474,0
"Alleghany County Public Schools, Virginia",15530,1888,512,9,58,231,27,90,93,4,1376,13642,2860,145,193,560,788,696,395,83,10782,15236,1825,402,394,8,0,0,0,1423,1384,38,0,0,1,13411,2175,2137,24,14,0,0,11236,10978,161,79,18,0,44848,45552,32778,NA,NA,NA,NA,NA,45613,39000,44848,21194,52718,74792,54242,96406,65699,90250,44848,4659,55417,53742,30516,51258,64500,35755,44848,51258,24107,31550,26685,19844,59384,60833,31691,NA,NA,NA,NA,NA,61146,31250,59384,52755,72778,60625,90109,66434,NA,59384,31352,52791,74207,100069,59384,66080,54883,59384,63363,76982,57344,41333,58542,60789,57708,24609,16500,28583,24162,24867,15427,22800,21276,NA,NA,5699,24965,17064,6773,688,376,312,6085,547,5538,6655,5483,1172,5721,4979,742,550,341,209,50,2,48,88,39,49,109,31,78,137,91,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3322,3292,421,294,202,603,448,679,645,30,3292,139,139,27,112,0,3153,3153,2405,244,504,0,6773,4556,3762,794,309,485,2217,1941,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11859,2050,612,593,19,0,0,0,1438,1425,12,0,0,1,4370,2327,2281,33,13,0,0,2043,2017,14,12,0,0,3493,2217,2184,14,9,10,0,1276,1225,39,12,0,0,1946,1339,1274,44,13,8,0,607,568,7,20,12,0,5413,2788,598,174,424,13,2177,2625,771145100,408746000,362399000,5413,2788,1238,1039,200,203,69,39,2625,1303,848,98,67,23,286,801,858,746,5413,2788,1038,1750,2625,702,1923,15916,3220,2678,1024,2440,542,3920,3156,2173,1897,764,3115,2933,2657,854,182,2572,2488,2386,442,84,3089,3054,2906,377,35,16240,16075,15174,845,10,37,0,9,165,5,160,154,121,12,16,0,5,11,0
"Amelia County Public Schools, Virginia",12215,1043,127,0,13,13,42,50,0,9,916,11172,2283,139,146,596,322,677,317,86,8889,11845,1029,156,148,8,0,0,0,873,850,23,0,0,0,10816,1860,1628,209,0,0,23,8956,8772,112,40,32,0,52885,59944,42760,43452,NA,NA,NA,NA,59944,NA,52885,26064,55549,60769,96593,76875,29519,87656,52885,57934,60114,54980,42212,58668,64631,43302,52885,58668,35417,63250,51649,NA,61403,72000,45508,NA,NA,NA,NA,NA,72000,NA,61403,52972,64464,97419,75536,29519,51729,61403,31737,48377,77106,89635,61403,60213,62259,61403,71813,86984,66069,35045,49058,49340,47813,32137,33663,31168,25100,28318,16625,25386,NA,NA,29133,8932,28352,8352,4808,484,277,207,4324,144,4180,5459,4671,788,4517,3893,624,557,470,87,13,13,0,40,40,0,77,0,77,255,255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2787,2787,390,370,191,459,382,396,599,0,2787,136,94,51,43,42,2651,2651,2153,143,355,0,4808,3622,2834,788,185,603,1186,998,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9027,1903,746,736,10,0,0,0,1157,1157,0,0,0,0,3284,1931,1903,28,0,0,0,1353,1340,0,13,0,0,2573,1875,1824,24,27,0,0,698,698,0,0,0,0,1267,855,845,10,0,0,0,412,402,0,0,10,0,3843,2647,427,100,327,0,2220,1196,890127400,632065200,258062200,3843,2647,1364,842,160,134,86,61,1196,597,386,77,28,82,26,762,758,774,3843,2647,867,1780,1196,447,749,12566,1497,1172,564,913,325,3072,2570,2024,986,502,2870,2554,2022,957,316,1937,1739,1666,276,198,3190,2988,2852,578,202,12712,12529,9171,3101,137,32,13,75,183,80,103,183,76,27,0,0,80,0,0
"Amherst County Public Schools, Virginia",30325,3430,728,27,51,136,154,218,142,0,2702,26895,5942,466,279,1117,1365,1457,1058,200,20953,29449,3374,550,535,11,4,0,0,2824,2663,75,35,22,29,26075,4189,4104,57,22,6,0,21886,21276,318,167,99,26,44945,49537,29773,34074,63043,NA,NA,83090,49402,31625,44945,22177,51070,51757,75912,85341,67287,64750,44945,23125,52990,55833,32217,52050,61913,35850,44945,52050,31472,65750,70250,NA,56802,61698,39676,65781,19779,NA,NA,83090,61451,40417,56802,49506,53147,75186,91214,75278,64750,56802,33511,43866,71167,92818,56802,59741,55308,56802,69027,77708,64824,31524,31250,45582,29789,31615,30046,34274,22580,23810,18466,16940,11941,NA,8093,24867,23912,9628,12680,1683,808,875,10997,769,10228,14028,10656,3372,11847,9213,2634,1382,995,387,137,48,89,182,85,97,221,73,148,259,242,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6700,6518,904,876,357,941,1049,1289,1102,182,6500,490,457,102,355,33,6010,5987,4131,290,1566,23,12680,8570,6181,2389,521,1868,4110,3547,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22327,4669,1584,1461,40,33,21,29,3085,2912,152,21,0,0,7742,4733,4671,19,36,7,0,3009,2938,23,24,11,13,6021,4341,4259,52,4,26,0,1680,1659,0,0,21,0,3895,2823,2676,36,77,21,13,1072,1057,14,0,1,0,9402,5662,1186,226,960,59,4417,3740,1585761000,1004270900,581490100,9402,5662,3090,1659,560,160,102,91,3740,2140,995,202,183,68,152,740,757,711,9402,5662,2276,3386,3740,1073,2667,30928,5749,4413,2210,3400,1336,7564,6319,4640,3081,1245,6851,6012,5229,1774,839,5857,5741,5420,808,116,4907,4428,3922,1066,479,32244,31568,24747,6042,351,217,15,196,676,107,569,663,368,87,28,67,113,13,0
"Appomattox County Public Schools, Virginia",14398,2512,808,5,29,231,352,179,12,0,1704,11886,2564,164,134,619,439,518,553,137,9322,14063,2461,762,762,0,0,0,0,1699,1654,26,0,0,19,11602,1614,1597,17,0,0,0,9988,9874,83,31,0,0,50167,53757,32500,NA,NA,NA,NA,58056,53692,NA,50167,19958,61856,54565,82234,53790,71056,95069,50167,45469,53701,59280,36979,56715,69375,41291,50167,56715,18155,55089,125107,49712,59252,65199,43859,NA,NA,NA,NA,58056,65100,NA,59252,59672,54511,83500,53426,NA,95069,59252,31333,43508,81595,105568,59252,51442,63953,59252,70378,67083,72886,30284,38864,25625,40227,24688,16506,38342,23636,26120,16813,3844,26347,NA,NA,3230,26156,4783,5803,1011,605,406,4792,428,4364,6368,5483,885,5441,4833,608,505,349,156,0,0,0,8,8,0,158,74,84,256,219,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300,3300,487,348,132,597,609,598,529,0,3292,450,419,171,248,31,2842,2842,1979,114,749,0,5803,4273,3143,1130,406,724,1530,1325,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10675,1899,645,625,20,0,0,0,1254,1199,55,0,0,0,4078,2409,2384,6,0,0,19,1669,1669,0,0,0,0,3092,2173,2142,0,31,0,0,919,911,8,0,0,0,1606,1113,1107,6,0,0,0,493,479,14,0,0,0,4654,2804,515,96,419,0,2289,1850,773544600,492679000,280865600,4654,2804,1516,829,226,134,62,37,1850,1062,559,52,126,42,9,723,745,678,4654,2804,1417,1387,1850,534,1316,14951,3134,2419,717,2167,715,2997,2520,1787,1399,477,3420,3220,2740,947,200,2951,2838,2702,411,113,2449,2304,2259,301,145,15054,14791,11578,3065,45,32,0,71,263,18,245,259,146,54,41,0,18,4,0
